checked_at,seller,fare_type,price,currency,source
2026-08-17T06:43:35+03:00,Kiwi.com,,1978.0,TRY,booking_options[7].together.price
2026-08-17T06:43:35+03:00,wego,,2258.0,TRY,booking_options[6].together.price
2026-08-17T06:43:35+03:00,Gotogate,,2485.0,TRY,booking_options[8].together.price
2026-08-17T06:43:35+03:00,Mytrip,,2495.0,TRY,booking_options[9].together.price
2026-08-17T06:43:35+03:00,Pegasus,Saver Plus,2626.0,TRY,booking_options[1].together.price
2026-08-17T06:43:35+03:00,Pegasus,Comfort Flex,2926.0,TRY,booking_options[2].together.price
2026-08-17T09:40:22+03:00,Turna.com,,1690.0,TRY,booking_options[3].together.price
2026-08-17T09:40:22+03:00,eDreams,,1696.0,TRY,booking_options[5].together.price
2026-08-17T09:40:22+03:00,Pegasus,Saver,1726.0,TRY,booking_options[0].together.price
2026-08-17T09:40:22+03:00,Trip.com,,1791.0,TRY,booking_options[4].together.price
2026-08-17T09:40:22+03:00,Kiwi.com,,1906.0,TRY,booking_options[7].together.price
2026-08-17T09:40:22+03:00,wego,,2258.0,TRY,booking_options[6].together.price
2026-08-17T09:40:22+03:00,Gotogate,,2485.0,TRY,booking_options[8].together.price
2026-08-17T09:40:22+03:00,Mytrip,,2495.0,TRY,booking_options[9].together.price
2026-08-17T09:40:22+03:00,Pegasus,Saver Plus,2626.0,TRY,booking_options[1].together.price
2026-08-17T09:40:22+03:00,Pegasus,Comfort Flex,2926.0,TRY,booking_options[2].together.price
2026-08-17T12:34:26+03:00,Pegasus,Saver,1726.0,TRY,booking_options[0].together.price
2026-08-17T12:34:26+03:00,kiss&fly,,1729.0,TRY,booking_options[3].together.price
2026-08-17T12:34:26+03:00,Pegasus,Saver Plus,2626.0,TRY,booking_options[1].together.price
2026-08-17T12:34:26+03:00,Gotogate,,2838.0,TRY,booking_options[4].together.price
2026-08-17T12:34:26+03:00,Pegasus,Comfort Flex,2926.0,TRY,booking_options[2].together.price
2026-08-17T15:30:54+03:00,Turna.com,,1690.0,TRY,booking_options[3].together.price
2026-08-17T15:30:54+03:00,eDreams,,1696.0,TRY,booking_options[5].together.price
2026-08-17T15:30:54+03:00,Pegasus,Saver,1726.0,TRY,booking_options[0].together.price
2026-08-17T15:30:54+03:00,Trip.com,,1791.0,TRY,booking_options[4].together.price
2026-08-17T15:30:54+03:00,Kiwi.com,,1906.0,TRY,booking_options[7].together.price
2026-08-17T15:30:54+03:00,wego,,2258.0,TRY,booking_options[6].together.price
2026-08-17T15:30:54+03:00,Gotogate,,2421.0,TRY,booking_options[8].together.price
2026-08-17T15:30:54+03:00,Mytrip,,2423.0,TRY,booking_options[9].together.price
2026-08-17T15:30:54+03:00,Pegasus,Saver Plus,2626.0,TRY,booking_options[1].together.price
2026-08-17T15:30:54+03:00,Pegasus,Comfort Flex,2926.0,TRY,booking_options[2].together.price
2026-08-17T18:19:17+03:00,Turna.com,,1690.0,TRY,booking_options[3].together.price
2026-08-17T18:19:17+03:00,eDreams,,1704.0,TRY,booking_options[5].together.price
2026-08-17T18:19:17+03:00,Pegasus,Saver,1726.0,TRY,booking_options[0].together.price
2026-08-17T18:19:17+03:00,kiss&fly,,1735.0,TRY,booking_options[8].together.price
2026-08-17T18:19:17+03:00,Kiwi.com,,1906.0,TRY,booking_options[6].together.price
2026-08-17T18:19:17+03:00,Trip.com,,1984.0,TRY,booking_options[4].together.price
2026-08-17T18:19:17+03:00,wego,,2258.0,TRY,booking_options[7].together.price
2026-08-17T18:19:17+03:00,Gotogate,,2440.0,TRY,booking_options[9].together.price
2026-08-17T18:19:17+03:00,Mytrip,,2443.0,TRY,booking_options[10].together.price
2026-08-17T18:19:17+03:00,Pegasus,Saver Plus,2626.0,TRY,booking_options[1].together.price
2026-08-17T18:19:17+03:00,Pegasus,Comfort Flex,2926.0,TRY,booking_options[2].together.price
2026-08-17T21:28:42+03:00,Turna.com,,1690.0,TRY,booking_options[3].together.price
2026-08-17T21:28:42+03:00,eDreams,,1704.0,TRY,booking_options[5].together.price
2026-08-17T21:28:42+03:00,Pegasus,Saver,1726.0,TRY,booking_options[0].together.price
2026-08-17T21:28:42+03:00,kiss&fly,,1735.0,TRY,booking_options[8].together.price
2026-08-17T21:28:42+03:00,Trip.com,,1791.0,TRY,booking_options[4].together.price
2026-08-17T21:28:42+03:00,Kiwi.com,,1906.0,TRY,booking_options[7].together.price
2026-08-17T21:28:42+03:00,wego,,2258.0,TRY,booking_options[6].together.price
2026-08-17T21:28:42+03:00,Gotogate,,2440.0,TRY,booking_options[9].together.price
2026-08-17T21:28:42+03:00,Mytrip,,2443.0,TRY,booking_options[10].together.price
2026-08-17T21:28:42+03:00,Pegasus,Saver Plus,2626.0,TRY,booking_options[1].together.price
2026-08-17T21:28:42+03:00,Pegasus,Comfort Flex,2926.0,TRY,booking_options[2].together.price
2026-08-18T00:20:09+03:00,eDreams,,1704.0,TRY,booking_options[3].together.price
2026-08-18T00:20:09+03:00,Pegasus,Saver,1726.0,TRY,booking_options[0].together.price
2026-08-18T00:20:09+03:00,Kiwi.com,,1906.0,TRY,booking_options[4].together.price
2026-08-18T00:20:09+03:00,wego,,2258.0,TRY,booking_options[5].together.price
2026-08-18T00:20:09+03:00,Pegasus,Saver Plus,2626.0,TRY,booking_options[1].together.price
2026-08-18T00:20:09+03:00,Gotogate,,2836.0,TRY,booking_options[6].together.price
2026-08-18T00:20:09+03:00,Pegasus,Comfort Flex,2926.0,TRY,booking_options[2].together.price
2026-08-18T03:52:05+03:00,Turna.com,,1691.0,TRY,booking_options[3].together.price
2026-08-18T03:52:05+03:00,eDreams,,1704.0,TRY,booking_options[5].together.price
2026-08-18T03:52:05+03:00,Pegasus,Saver,1727.0,TRY,booking_options[0].together.price
2026-08-18T03:52:05+03:00,Trip.com,,1791.0,TRY,booking_options[4].together.price
2026-08-18T03:52:05+03:00,Kiwi.com,,1907.0,TRY,booking_options[7].together.price
2026-08-18T03:52:05+03:00,wego,,2258.0,TRY,booking_options[6].together.price
2026-08-18T03:52:05+03:00,Gotogate,,2447.0,TRY,booking_options[8].together.price
2026-08-18T03:52:05+03:00,Mytrip,,2449.0,TRY,booking_options[9].together.price
2026-08-18T03:52:05+03:00,Pegasus,Saver Plus,2627.0,TRY,booking_options[1].together.price
2026-08-18T03:52:05+03:00,Pegasus,Comfort Flex,2927.0,TRY,booking_options[2].together.price
2026-08-18T06:39:17+03:00,Pegasus,Saver,1832.0,TRY,booking_options[0].together.price
2026-08-18T06:39:17+03:00,Pegasus,Saver Plus,2732.0,TRY,booking_options[1].together.price
2026-08-18T06:39:17+03:00,Gotogate,,2941.0,TRY,booking_options[3].together.price
2026-08-18T06:39:17+03:00,Pegasus,Comfort Flex,3032.0,TRY,booking_options[2].together.price
2026-08-18T09:32:05+03:00,Turna.com,,1796.0,TRY,booking_options[3].together.price
2026-08-18T09:32:05+03:00,eDreams,,1810.0,TRY,booking_options[5].together.price
2026-08-18T09:32:05+03:00,Pegasus,Saver,1832.0,TRY,booking_options[0].together.price
2026-08-18T09:32:05+03:00,kiss&fly,,1845.0,TRY,booking_options[7].together.price
2026-08-18T09:32:05+03:00,Trip.com,,1902.0,TRY,booking_options[4].together.price
2026-08-18T09:32:05+03:00,Kiwi.com,,2012.0,TRY,booking_options[8].together.price
2026-08-18T09:32:05+03:00,wego,,2356.0,TRY,booking_options[6].together.price
2026-08-18T09:32:05+03:00,Gotogate,,2554.0,TRY,booking_options[9].together.price
2026-08-18T09:32:05+03:00,Mytrip,,2556.0,TRY,booking_options[10].together.price
2026-08-18T09:32:05+03:00,Pegasus,Saver Plus,2732.0,TRY,booking_options[1].together.price
2026-08-18T09:32:05+03:00,Pegasus,Comfort Flex,3032.0,TRY,booking_options[2].together.price
2026-08-18T12:25:56+03:00,eDreams,,1810.0,TRY,booking_options[3].together.price
2026-08-18T12:25:56+03:00,Pegasus,Saver,1832.0,TRY,booking_options[0].together.price
2026-08-18T12:25:56+03:00,Kiwi.com,,2012.0,TRY,booking_options[4].together.price
2026-08-18T12:25:56+03:00,Pegasus,Saver Plus,2732.0,TRY,booking_options[1].together.price
2026-08-18T12:25:56+03:00,Gotogate,,2941.0,TRY,booking_options[5].together.price
2026-08-18T12:25:56+03:00,Pegasus,Comfort Flex,3032.0,TRY,booking_options[2].together.price
